TIME_GRANULARITY,TIME_D_VALUE,EFFECTIVE_MONTH,RECORD_TYPE,TERRITORY,DEALER_NUMBER,RETAIL_FINANCE_PENETRATIONS_T,RF_PENETRATIONS_PERC,RF_PENETRATIONS_RANK,RF_PENETRATIONS_RANK_N,CREDIT_INSURANCE_PERC_T,CREDIT_INS_PERC,CREDIT_INS_RANK,CREDIT_INS_RANK_N,LOAN_PERC_T,LOAN_PERC,LOAN_PERC_RANK,LOAN_PERC_RANK_N,LEASE_PERC_T,LEASE_PERC,LEASE_PERC_RANK,LEASE_PERC_RANK_N,PRE_APPROVAL_T,PREAPPROVED_PERC,PREAPPROVED_RANK,PREAPPROVED_RANK_N,AUTO_APPROVAL_T,AUTOAPPROVED_PERC,AUTOAPPROVED_RANK,AUTOAPPROVED_RANK_N,EXPIRED_APPROVALS_T,EXPIRED_APPROVED_APP_PERC,EXPIRED_APPROVED_APP_RANK,EXPIRED_APPROVED_APP_RANK_N,ESIGN_PDF_T,ESIGNED_PERC,ESIGNED_PERC_RANK,ESIGNED_PERC_RANK_N
MONTHLY,"Apr,2023",01-04-2023,D,20,201770,52-55%,50,6,38,10%,0,1,15,50%,100,,,50%,0,,,10%,0,5,26,10%,20,2,8,5%,0,1,1,100%,80,3,10
MONTHLY,"Apr,2023",01-04-2023,D,20,200390,52-55%,0,10,59,10%,0,1,15,50%,0,,,50%,0,,,10%,0,5,26,10%,0,4,28,5%,0,1,1,100%,0,11,47
MONTHLY,"Jan,2023",01-01-2023,D,50,8700,52-55%,30,8,37,10%,0,1,13,50%,100,,,50%,0,,,10%,0,5,19,10%,0,4,22,5%,0,1,1,100%,75,3,8
MONTHLY,"Feb,2023",01-02-2023,T,115,,52-55%,65.84,3,,10%,0,4,,50%,53.28,,,50%,46.72,,,10%,4.92,4,,10%,5.74,5,,5%,0,1,,100%,55.74,5,
MONTHLY,"Oct,2023",01-10-2023,T,100,,52-55%,48.31,10,,10%,1.92,4,,50%,80.77,,,50%,19.23,,,10%,1.92,6,,10%,13.46,5,,5%,61.36,10,,100%,92.31,4,
MONTHLY,"Oct,2023",01-10-2023,T,110,,52-55%,53.27,8,,10%,0,7,,50%,41.04,,,50%,58.96,,,10%,3.73,2,,10%,11.19,8,,5%,45.81,1,,100%,97.76,1,
MONTHLY,"Jan,2024",01-01-2024,T,115,,52-55%,61.04,4,,10%,0,4,,50%,66.13,,,50%,33.87,,,10%,7.26,3,,10%,13.71,3,,5%,84.14,5,,100%,89.52,8,
MONTHLY,"Aug,2023",01-08-2023,T,110,,52-55%,38.62,10,,10%,0,7,,50%,47.92,,,50%,52.08,,,10%,3.13,2,,10%,20.83,1,,5%,35.88,7,,100%,86.46,2,
MONTHLY,"May,2023",01-05-2023,T,135,,52-55%,61.83,3,,10%,0.73,6,,50%,61.31,,,50%,38.69,,,10%,1.82,10,,10%,12.77,2,,5%,0,1,,100%,37.96,9,
MONTHLY,"Jun,2023",01-06-2023,T,140,,52-55%,55.1,6,,10%,0,5,,50%,83.7,,,50%,16.3,,,10%,2.22,10,,10%,9.63,4,,5%,28.57,8,,100%,57.04,6,
MONTHLY,"Jun,2023",01-06-2023,D,60,200320,52-55%,72.73,4,15,10%,0,7,15,50%,21.05,,,50%,78.95,,,10%,15.79,2,6,10%,0,6,35,5%,0,1,1,100%,21.05,7,49
MONTHLY,"Oct,2023",01-10-2023,D,65,56600,52-55%,55.56,10,37,10%,0,3,16,50%,21.43,,,50%,78.57,,,10%,14.29,3,8,10%,21.43,2,14,5%,58.33,11,49,100%,100,1,1
MONTHLY,"Oct,2023",01-10-2023,D,65,200200,52-55%,84.62,2,9,10%,0,3,16,50%,80,,,50%,20,,,10%,0,5,22,10%,66.67,1,2,5%,42.86,5,22,100%,26.67,13,36
MONTHLY,"Oct,2023",01-10-2023,D,65,10000,52-55%,26.67,14,56,10%,0,3,16,50%,85.71,,,50%,14.29,,,10%,0,5,22,10%,14.29,5,20,5%,61.76,13,53,100%,28.57,12,35
MONTHLY,"Oct,2023",01-10-2023,D,65,200850,52-55%,66.67,7,25,10%,0,3,16,50%,41.67,,,50%,58.33,,,10%,0,5,22,10%,16.67,3,18,5%,60,12,51,100%,66.67,9,26
MONTHLY,"Sep,2023",01-09-2023,N,,,45%,55.98,,,8%,3.8,,,40%,57.82,,,35%,42.18,,,5%,0,,,6%,17.86,,,5%,41.86,,,80%,84.53,,
MONTHLY,"Feb,2024",01-02-2024,T,120,,52-55%,42.68,8,,10%,2.22,4,,50%,82.22,,,50%,17.78,,,10%,6.67,6,,10%,8.89,4,,5%,82.71,2,,100%,95.56,2,
MONTHLY,"Jun,2023",01-06-2023,T,90,,52-55%,51.55,7,,10%,0,5,,50%,87.21,,,50%,12.79,,,10%,3.49,8,,10%,8.14,7,,5%,20,6,,100%,59.3,5,
MONTHLY,"Feb,2023",01-02-2023,T,120,,52-55%,36.26,10,,10%,0,4,,50%,93.02,,,50%,6.98,,,10%,2.33,8,,10%,13.95,1,,5%,0,1,,100%,58.14,3,
MONTHLY,"Sep,2023",01-09-2023,T,120,,52-55%,46.78,7,,10%,0,6,,50%,86.96,,,50%,13.04,,,10%,0,1,,10%,13.04,9,,5%,40.38,3,,100%,92.39,1,
MONTHLY,"Jan,2023",01-01-2023,T,115,,52-55%,56.92,4,,10%,0,5,,50%,66.94,,,50%,33.06,,,10%,8.87,3,,10%,8.87,6,,5%,0,1,,100%,56.45,3,
MONTHLY,"Jun,2023",01-06-2023,T,135,,52-55%,61.62,4,,10%,0.65,4,,50%,66.67,,,50%,33.33,,,10%,2.91,9,,10%,10.36,3,,5%,27.27,7,,100%,30.1,10,
MONTHLY,"Jun,2023",01-06-2023,T,120,,52-55%,46.58,9,,10%,0,5,,50%,88.46,,,50%,11.54,,,10%,5.38,3,,10%,9.23,6,,5%,20,6,,100%,76.15,1,
MONTHLY,"Mar,2024",01-03-2024,N,,,45%,58.97,,,8%,4.44,,,40%,60,,,35%,40,,,5%,8.89,,,6%,10,,,5%,81.15,,,80%,92.22,,
MONTHLY,"Feb,2023",01-02-2023,T,140,,52-55%,57.32,5,,10%,0,4,,50%,82.35,,,50%,17.65,,,10%,1.96,10,,10%,9.8,2,,5%,0,1,,100%,56.86,4,
MONTHLY,"Sep,2023",01-09-2023,T,125,,52-55%,68.36,2,,10%,9.68,2,,50%,35.48,,,50%,64.52,,,10%,0,1,,10%,21.94,4,,5%,37.87,2,,100%,85.81,4,
MONTHLY,"Jan,2024",01-01-2024,T,105,,52-55%,46.81,9,,10%,0,4,,50%,66.67,,,50%,33.33,,,10%,11.11,1,,10%,14.81,2,,5%,82.63,3,,100%,74.07,10,
MONTHLY,"Aug,2023",01-08-2023,T,125,,52-55%,65.45,2,,10%,7.79,1,,50%,38.96,,,50%,61.04,,,10%,1.3,6,,10%,6.49,8,,5%,33.84,4,,100%,73.38,4,
MONTHLY,"Jul,2023",01-07-2023,T,125,,52-55%,59.04,1,,10%,9.03,2,,50%,37.42,,,50%,62.58,,,10%,5.16,3,,10%,1.29,10,,5%,20.86,3,,100%,48.39,6,
MONTHLY,"Nov,2023",01-11-2023,N,,,45%,65.27,,,8%,4.18,,,40%,47.87,,,35%,52.13,,,5%,4.85,,,6%,6.42,,,5%,61.26,,,80%,90.22,,
MONTHLY,"Oct,2023",01-10-2023,D,65,29800,52-55%,80,3,13,10%,0,3,16,50%,33.33,,,50%,66.67,,,10%,16.67,1,6,10%,16.67,3,18,5%,60,12,51,100%,83.33,6,18
MONTHLY,"Mar,2024",01-03-2024,D,35,201460,52-55%,0,3,12,10%,0,2,5,50%,0,,,50%,0,,,10%,0,2,7,10%,0,1,7,5%,100,9,88,100%,0,2,6
MONTHLY,"Nov,2023",01-11-2023,D,10,201550,52-55%,20,8,49,10%,0,1,15,50%,100,,,50%,0,,,10%,0,3,21,10%,0,4,28,5%,71.43,9,66,100%,100,1,1
MONTHLY,"Nov,2023",01-11-2023,D,10,25100,52-55%,75,3,16,10%,0,1,15,50%,66.67,,,50%,33.33,,,10%,0,3,21,10%,0,4,28,5%,78.57,10,74,100%,100,1,1
MONTHLY,"May,2023",01-05-2023,D,30,201630,52-55%,40,5,65,10%,0,2,19,50%,100,,,50%,0,,,10%,0,3,36,10%,10,2,24,5%,0,1,1,100%,60,5,29
MONTHLY,"May,2023",01-05-2023,D,30,200610,52-55%,20,10,76,10%,0,2,19,50%,100,,,50%,0,,,10%,0,3,36,10%,0,5,46,5%,0,1,1,100%,0,8,66
MONTHLY,"Apr,2023",01-04-2023,D,40,27600,52-55%,63.83,2,25,10%,0,1,15,50%,0,,,50%,100,,,10%,8,2,16,10%,12,4,16,5%,0,1,1,100%,68,4,17
MONTHLY,"Apr,2023",01-04-2023,D,40,201840,52-55%,30,7,50,10%,0,1,15,50%,100,,,50%,0,,,10%,33.33,1,4,10%,0,7,28,5%,0,1,1,100%,66.67,5,18
MONTHLY,"Apr,2023",01-04-2023,D,40,201100,52-55%,40,6,44,10%,0,1,15,50%,50,,,50%,50,,,10%,0,4,26,10%,50,1,2,5%,0,1,1,100%,0,8,47
MONTHLY,"Aug,2023",01-08-2023,D,45,52100,52-55%,58.06,7,25,10%,0,1,13,50%,100,,,50%,0,,,10%,5.26,3,10,10%,15.79,8,24,5%,19.05,3,10,100%,100,1,1
MONTHLY,"Aug,2023",01-08-2023,D,45,59200,52-55%,58.33,6,24,10%,0,1,13,50%,87.5,,,50%,12.5,,,10%,0,4,14,10%,25,5,17,5%,33.33,10,26,100%,75,4,18
MONTHLY,"Nov,2023",01-11-2023,D,45,200740,52-55%,56,9,33,10%,0,1,15,50%,5.56,,,50%,94.44,,,10%,5.56,4,17,10%,0,9,28,5%,72.28,13,67,100%,83.33,6,19
MONTHLY,"Nov,2023",01-11-2023,D,45,143200,52-55%,0,13,52,10%,0,1,15,50%,0,,,50%,0,,,10%,0,6,21,10%,0,9,28,5%,0,1,1,100%,0,8,36
MONTHLY,"Mar,2024",01-03-2024,D,60,200250,52-55%,0,4,12,10%,0,3,5,50%,0,,,50%,100,,,10%,0,1,7,10%,0,3,7,5%,74.42,3,27,100%,100,1,1
MONTHLY,"Feb,2023",01-02-2023,D,40,201070,52-55%,75,2,14,10%,0,1,14,50%,66.67,,,50%,33.33,,,10%,0,4,17,10%,33.33,1,6,5%,0,1,1,100%,66.67,4,13
MONTHLY,"Aug,2023",01-08-2023,D,50,11900,52-55%,33.33,11,51,10%,0,1,13,50%,75,,,50%,25,,,10%,0,2,14,10%,37.5,2,10,5%,0,1,1,100%,100,1,1
MONTHLY,"Sep,2023",01-09-2023,D,40,201780,52-55%,66.67,4,18,10%,0,1,16,50%,0,,,50%,100,,,10%,0,1,1,10%,9.09,7,28,5%,47.62,8,49,100%,100,1,1
MONTHLY,"Oct,2023",01-10-2023,D,20,201050,52-55%,100,1,1,10%,0,2,16,50%,75,,,50%,25,,,10%,0,3,22,10%,25,4,10,5%,33.33,3,12,100%,100,1,1
MONTHLY,"May,2023",01-05-2023,D,10,25150,52-55%,60,4,28,10%,0,1,19,50%,87.5,,,50%,12.5,,,10%,0,3,36,10%,0,8,46,5%,0,1,1,100%,62.5,3,28
MONTHLY,"May,2023",01-05-2023,D,10,201810,52-55%,13.33,12,79,10%,0,1,19,50%,100,,,50%,0,,,10%,0,3,36,10%,0,8,46,5%,0,1,1,100%,0,11,66
MONTHLY,"May,2023",01-05-2023,D,10,25100,52-55%,66.67,3,18,10%,0,1,19,50%,100,,,50%,0,,,10%,0,3,36,10%,0,8,46,5%,0,1,1,100%,0,11,66
MONTHLY,"Oct,2023",01-10-2023,D,20,200830,52-55%,0,15,61,10%,0,2,16,50%,0,,,50%,0,,,10%,0,3,22,10%,0,9,42,5%,0,1,1,100%,0,7,40
MONTHLY,"Mar,2024",01-03-2024,D,65,201880,52-55%,100,1,1,10%,0,2,5,50%,100,,,50%,0,,,10%,0,3,7,10%,0,4,7,5%,57.14,2,3,100%,100,1,1
MONTHLY,"Mar,2024",01-03-2024,D,65,4600,52-55%,66.67,3,6,10%,0,2,5,50%,50,,,50%,50,,,10%,0,3,7,10%,50,2,2,5%,74.6,4,28,100%,100,1,1
MONTHLY,"Sep,2023",01-09-2023,D,55,15400,52-55%,81.25,1,8,10%,11.11,4,11,50%,38.89,,,50%,61.11,,,10%,0,1,1,10%,22.22,4,19,5%,31.15,1,18,100%,100,1,1
MONTHLY,"Sep,2023",01-09-2023,D,55,8600,52-55%,59.09,7,28,10%,0,7,16,50%,81.25,,,50%,18.75,,,10%,0,1,1,10%,6.25,6,32,5%,33.33,3,22,100%,93.75,3,6
MONTHLY,"Mar,2024",01-03-2024,D,45,30800,52-55%,100,1,1,10%,0,1,5,50%,100,,,50%,0,,,10%,0,4,7,10%,25,3,5,5%,89.19,13,78,100%,75,2,2
MONTHLY,"Mar,2024",01-03-2024,D,45,28100,52-55%,100,1,1,10%,0,1,5,50%,33.33,,,50%,66.67,,,10%,0,4,7,10%,0,4,7,5%,85.07,10,65,100%,66.67,3,3
MONTHLY,"Mar,2024",01-03-2024,D,45,28200,52-55%,0,7,12,10%,0,1,5,50%,0,,,50%,0,,,10%,0,4,7,10%,0,4,7,5%,0,1,1,100%,0,4,6
MONTHLY,"Mar,2024",01-03-2024,D,45,51300,52-55%,0,7,12,10%,0,1,5,50%,0,,,50%,100,,,10%,100,1,1,10%,100,1,1,5%,83.02,7,55,100%,100,1,1
MONTHLY,"May,2023",01-05-2023,D,50,59900,52-55%,42.31,8,63,10%,0,1,19,50%,88.89,,,50%,11.11,,,10%,11.11,2,16,10%,44.44,1,4,5%,0,1,1,100%,44.44,4,38
MONTHLY,"Oct,2023",01-10-2023,D,30,200610,52-55%,66.67,3,25,10%,0,2,16,50%,100,,,50%,0,,,10%,0,2,22,10%,100,1,1,5%,0,1,1,100%,0,3,40
MONTHLY,"Oct,2023",01-10-2023,D,30,201610,52-55%,75,2,18,10%,0,2,16,50%,100,,,50%,0,,,10%,0,2,22,10%,50,2,3,5%,62.5,6,55,100%,100,1,1
MONTHLY,"Jun,2023",01-06-2023,D,30,201670,52-55%,66.67,1,24,10%,0,2,15,50%,85.71,,,50%,14.29,,,10%,14.29,1,7,10%,14.29,3,16,5%,0,1,1,100%,0,8,62
MONTHLY,"May,2023",01-05-2023,N,,,45%,55.1,,,8%,2.1,,,40%,58.01,,,35%,41.99,,,5%,5.49,,,6%,7.85,,,5%,0,,,80%,53.8,,
MONTHLY,"Apr,2023",01-04-2023,D,20,201510,52-55%,58.33,5,31,10%,0,1,15,50%,100,,,50%,0,,,10%,0,5,26,10%,0,4,28,5%,0,1,1,100%,12.5,10,43
MONTHLY,"Mar,2024",01-03-2024,D,35,200990,52-55%,50,2,8,10%,0,2,5,50%,100,,,50%,0,,,10%,0,2,7,10%,0,1,7,5%,72.73,3,21,100%,100,1,1
MONTHLY,"Mar,2024",01-03-2024,D,50,8700,52-55%,93.75,2,2,10%,0,1,5,50%,50,,,50%,50,,,10%,0,1,7,10%,25,2,5,5%,73.91,4,25,100%,100,1,1
MONTHLY,"Mar,2024",01-03-2024,D,50,201580,52-55%,0,5,12,10%,0,1,5,50%,0,,,50%,100,,,10%,0,1,7,10%,0,3,7,5%,75,5,30,100%,100,1,1
MONTHLY,"Jan,2023",01-01-2023,D,50,11900,52-55%,36.36,6,34,10%,0,1,13,50%,80,,,50%,20,,,10%,0,5,19,10%,20,2,12,5%,0,1,1,100%,80,2,7
MONTHLY,"Jan,2023",01-01-2023,D,50,59900,52-55%,33.33,7,36,10%,0,1,13,50%,100,,,50%,0,,,10%,0,5,19,10%,100,1,2,5%,0,1,1,100%,0,6,36
MONTHLY,"Nov,2023",01-11-2023,D,10,201810,52-55%,40,7,42,10%,0,1,15,50%,100,,,50%,0,,,10%,0,3,21,10%,25,2,10,5%,63.64,6,49,100%,100,1,1
MONTHLY,"Apr,2023",01-04-2023,D,20,200300,52-55%,0,10,59,10%,0,1,15,50%,0,,,50%,0,,,10%,0,5,26,10%,0,4,28,5%,0,1,1,100%,0,11,47
MONTHLY,"Mar,2024",01-03-2024,D,50,2700,52-55%,25,4,11,10%,0,1,5,50%,100,,,50%,0,,,10%,0,1,7,10%,25,2,5,5%,71.6,3,17,100%,100,1,1
MONTHLY,"Nov,2023",01-11-2023,D,10,200620,52-55%,54.55,5,34,10%,0,1,15,50%,87.5,,,50%,12.5,,,10%,0,3,21,10%,25,2,10,5%,65.63,7,58,100%,100,1,1
MONTHLY,"May,2023",01-05-2023,D,30,201530,52-55%,25,8,73,10%,0,2,19,50%,0,,,50%,100,,,10%,100,1,1,10%,0,5,46,5%,0,1,1,100%,100,1,1
MONTHLY,"May,2023",01-05-2023,D,30,201620,52-55%,50,4,52,10%,0,2,19,50%,75,,,50%,25,,,10%,0,3,36,10%,0,5,46,5%,0,1,1,100%,91.67,2,6
MONTHLY,"May,2023",01-05-2023,D,30,201670,52-55%,33.33,6,70,10%,0,2,19,50%,100,,,50%,0,,,10%,0,3,36,10%,20,1,14,5%,0,1,1,100%,0,8,66
MONTHLY,"Apr,2023",01-04-2023,D,40,201070,52-55%,25,9,53,10%,0,1,15,50%,0,,,50%,100,,,10%,0,4,26,10%,0,7,28,5%,0,1,1,100%,100,1,1
MONTHLY,"Aug,2023",01-08-2023,D,45,200740,52-55%,66.67,4,14,10%,0,1,13,50%,4,,,50%,96,,,10%,0,4,14,10%,8,11,34,5%,29.41,9,23,100%,56,7,28
MONTHLY,"Aug,2023",01-08-2023,D,45,16400,52-55%,42.5,12,43,10%,0,1,13,50%,27.78,,,50%,72.22,,,10%,5.56,2,9,10%,27.78,4,16,5%,44.44,13,37,100%,94.44,2,3
MONTHLY,"Aug,2023",01-08-2023,D,45,28100,52-55%,61.29,5,21,10%,0,1,13,50%,80.95,,,50%,19.05,,,10%,0,4,14,10%,4.76,12,40,5%,39.13,12,32,100%,33.33,9,37
MONTHLY,"Nov,2023",01-11-2023,D,45,33300,52-55%,45,11,40,10%,0,1,15,50%,90,,,50%,10,,,10%,0,6,21,10%,0,9,28,5%,50,2,15,100%,100,1,1
MONTHLY,"Nov,2023",01-11-2023,D,45,28200,52-55%,0,13,52,10%,0,1,15,50%,0,,,50%,0,,,10%,0,6,21,10%,0,9,28,5%,0,1,1,100%,0,8,36
MONTHLY,"Mar,2024",01-03-2024,D,60,62100,52-55%,40,3,9,10%,25,2,4,50%,50,,,50%,50,,,10%,0,1,7,10%,25,1,5,5%,77.01,4,35,100%,100,1,1
MONTHLY,"Mar,2024",01-03-2024,D,60,51600,52-55%,0,4,12,10%,0,3,5,50%,25,,,50%,75,,,10%,0,1,7,10%,0,3,7,5%,87.35,13,72,100%,75,2,2
MONTHLY,"Mar,2024",01-03-2024,D,60,201740,52-55%,0,4,12,10%,0,3,5,50%,0,,,50%,0,,,10%,0,1,7,10%,0,3,7,5%,78.57,6,39,100%,0,3,6
MONTHLY,"Jun,2023",01-06-2023,D,30,139500,52-55%,39.29,6,62,10%,0,2,15,50%,66.67,,,50%,33.33,,,10%,0,3,25,10%,0,6,35,5%,0,1,1,100%,75,2,17
MONTHLY,"Mar,2023",01-03-2023,D,30,200820,52-55%,0,7,53,10%,0,1,13,50%,0,,,50%,0,,,10%,0,2,21,10%,0,3,22,5%,0,1,1,100%,0,5,41
MONTHLY,"Mar,2023",01-03-2023,D,30,201760,52-55%,50,5,30,10%,0,1,13,50%,100,,,50%,0,,,10%,0,2,21,10%,0,3,22,5%,0,1,1,100%,25,3,32
MONTHLY,"Mar,2023",01-03-2023,D,30,201530,52-55%,0,7,53,10%,0,1,13,50%,0,,,50%,0,,,10%,0,2,21,10%,0,3,22,5%,0,1,1,100%,0,5,41
MONTHLY,"Jan,2023",01-01-2023,D,60,201740,52-55%,83.33,3,6,10%,0,7,13,50%,0,,,50%,100,,,10%,0,7,19,10%,0,2,22,5%,0,1,1,100%,100,1,1
MONTHLY,"Mar,2023",01-03-2023,D,30,201630,52-55%,50,5,30,10%,0,1,13,50%,100,,,50%,0,,,10%,0,2,21,10%,0,3,22,5%,0,1,1,100%,0,5,41
MONTHLY,"Oct,2023",01-10-2023,D,35,201460,52-55%,50,4,42,10%,0,2,16,50%,100,,,50%,0,,,10%,0,1,22,10%,0,9,42,5%,100,11,72,100%,100,1,1
MONTHLY,"Nov,2023",01-11-2023,D,30,200820,52-55%,100,1,1,10%,0,2,15,50%,100,,,50%,0,,,10%,0,2,21,10%,0,4,28,5%,0,1,1,100%,0,4,36
MONTHLY,"Feb,2023",01-02-2023,D,45,52100,52-55%,81.82,3,8,10%,0,1,14,50%,100,,,50%,0,,,10%,0,6,17,10%,0,3,17,5%,0,1,1,100%,85.71,1,5
MONTHLY,"Feb,2023",01-02-2023,D,45,51300,52-55%,60,6,21,10%,0,1,14,50%,83.33,,,50%,16.67,,,10%,0,6,17,10%,0,3,17,5%,0,1,1,100%,0,9,34
MONTHLY,"Aug,2023",01-08-2023,D,35,201560,52-55%,100,1,1,10%,0,1,13,50%,100,,,50%,0,,,10%,0,2,14,10%,50,2,5,5%,0,1,1,100%,100,1,1
MONTHLY,"Feb,2023",01-02-2023,D,45,138100,52-55%,66.67,5,18,10%,0,1,14,50%,66.67,,,50%,33.33,,,10%,11.11,3,10,10%,0,3,17,5%,0,1,1,100%,44.44,6,19
MONTHLY,"Aug,2023",01-08-2023,D,40,6900,52-55%,42.86,7,42,10%,0,1,13,50%,57.14,,,50%,42.86,,,10%,0,3,14,10%,14.29,7,26,5%,25,4,16,100%,85.71,2,10
MONTHLY,"Aug,2023",01-08-2023,D,40,27600,52-55%,48.39,4,36,10%,0,1,13,50%,5.56,,,50%,94.44,,,10%,5.56,2,9,10%,22.22,5,19,5%,28.57,5,21,100%,83.33,3,13
MONTHLY,"Mar,2023",01-03-2023,D,55,201700,52-55%,66.67,6,16,10%,0,5,13,50%,14.29,,,50%,85.71,,,10%,0,3,21,10%,0,4,22,5%,0,1,1,100%,0,7,41
MONTHLY,"Feb,2023",01-02-2023,D,40,6900,52-55%,36.36,9,32,10%,0,1,14,50%,75,,,50%,25,,,10%,25,1,5,10%,0,4,17,5%,0,1,1,100%,75,3,9
MONTHLY,"Feb,2023",01-02-2023,D,40,201840,52-55%,42.86,8,28,10%,0,1,14,50%,100,,,50%,0,,,10%,0,4,17,10%,0,4,17,5%,0,1,1,100%,100,1,1
MONTHLY,"Aug,2023",01-08-2023,D,50,201580,52-55%,65,2,15,10%,0,1,13,50%,91.67,,,50%,8.33,,,10%,0,2,14,10%,33.33,3,12,5%,25,2,16,100%,83.33,3,13
MONTHLY,"Sep,2023",01-09-2023,D,40,201830,52-55%,70,3,16,10%,0,1,16,50%,100,,,50%,0,,,10%,0,1,1,10%,0,8,36,5%,25,3,13,100%,100,1,1
MONTHLY,"Sep,2023",01-09-2023,D,40,201790,52-55%,30,10,48,10%,0,1,16,50%,0,,,50%,100,,,10%,0,1,1,10%,66.67,2,3,5%,45.45,6,44,100%,100,1,1
MONTHLY,"Oct,2023",01-10-2023,D,20,201430,52-55%,40,10,50,10%,0,2,16,50%,50,,,50%,50,,,10%,0,3,22,10%,0,9,42,5%,50,5,33,100%,100,1,1
MONTHLY,"Oct,2023",01-10-2023,D,20,200300,52-55%,0,15,61,10%,0,2,16,50%,0,,,50%,0,,,10%,0,3,22,10%,0,9,42,5%,100,13,72,100%,0,7,40
MONTHLY,"May,2023",01-05-2023,D,10,9400,52-55%,70,2,13,10%,0,1,19,50%,100,,,50%,0,,,10%,14.29,2,12,10%,0,8,46,5%,0,1,1,100%,28.57,8,50
